,Type,Photo,Name,Speciality,Address,City,State,Country,Contacts,Page Link,Raitngs,Votes
10,Hospital,https://content.jdmagicbox.com/comp/surat/y6/0261px261.x261.190213231728.s5y6/catalogue/sanskruti-prasutigruh-and-surgical-hospital-katargam-surat-hospitals-hz1fg7nscp.jpg?clr=#444422?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Sanskruti Prasutigruh & Sur..,Public Hospitals near me,"Singanpor Road, Ka.. |",Surat,Gujarat,India,+(91)-9909789444,https://www.justdial.com/Surat/Sanskruti-Prasutigruh-Surgical-Hospital-Katargam/0261PX261-X261-190213231728-S5Y6_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,5.0,NaN
11,Hospital,https://content.jdmagicbox.com/comp/def_content/hospitals/default-hospitals-18.jpg?clr=#143d52?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Nirmal Hospital Pvt Ltd,Coronavirus Treatment Hospitals near me,"Civil Cross Road, .. |",Surat,Gujarat,India,08045795165,https://www.justdial.com/Surat/Nirmal-Hospital-Pvt-Ltd-Sagrampura/0261PX261-X261-210326115717-M9B9_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.2,1 Votes
12,Hospital,https://content.jdmagicbox.com/comp/surat/g1/0261px261.x261.160709165303.n8g1/catalogue/v4u-multi-speciality-hospital-palanpur-jakat-naka-surat-dermatologists-3bb6mke.png?clr=#28283e?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,V4u Multi Speciality Hospit..,NaN,"Canal Road, Palanp.. |",Surat,Gujarat,India,07947255363,https://www.justdial.com/Surat/V4u-Multi-Speciality-Hospital-Near-L-P-Savani-School-Palanpur-Jakat-Naka/0261PX261-X261-160709165303-N8G1_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.1,NaN
13,Hospital,https://content.jdmagicbox.com/comp/surat/u5/0261px261.x261.210729192424.h4u5/catalogue/-caaw62ad6c.jpg?clr=#4d331a?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Monarch Multi-Speciality Ho..,NaN,Pal Gam Road-Palan.. |,Surat,Gujarat,India,07947060598,https://www.justdial.com/Surat/Monarch-Multi-Speciality-Hospital-Pal-Gam-Road-Palanpur-Patia/0261PX261-X261-210729192424-H4U5_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,5.0,38 Votes
14,Hospital,https://content.jdmagicbox.com/comp/surat/u3/0261px261.x261.210318172147.f6u3/catalogue/amrutam-multispeciality-hospital-puna-patiya-surat-8v5p1f39g6.jpg?clr=#333333?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Amrutam Multispeciality Hos..,NaN,"Patiya Main Road, .. |",Surat,Gujarat,India,08045793359,https://www.justdial.com/Surat/Amrutam-Multispeciality-Hospital-ICU-Near-CNG-Pump-Puna-Patiya/0261PX261-X261-210318172147-F6U3_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.9,NaN
15,Hospital,https://content.jdmagicbox.com/comp/surat/m6/0261px261.x261.130807101148.n9m6/catalogue/sanjeevani-multi-speciality-hospital-vesu-surat-hospitals-dhqv7g6cfv.jpg?clr=#2b2b3b?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Sanjeevani Multi Speciality..,NaN,"University Road, V.. |",Surat,Gujarat,India,07947254889,https://www.justdial.com/Surat/Sanjeevani-Multi-Speciality-Hospital-Opposite-S-D-Jain-School-Vesu/0261PX261-X261-130807101148-N9M6_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.5,81 Votes
16,Hospital,https://content.jdmagicbox.com/comp/surat/w9/0261px261.x261.210208130542.z3w9/catalogue/shree-prannath-multispeciality-hospital-amroli-surat-orthopaedic-doctors-8fs11hgi7h.jpg?clr=#254141?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Shree Prannath Multispecial..,NaN,Amroli Chhapar Bha.. |,Surat,Gujarat,India,07947290314,https://www.justdial.com/Surat/Shree-Prannath-Multispeciality-Hospital-Amroli/0261PX261-X261-210208130542-Z3W9_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,5.0,NaN
17,Hospital,https://content.jdmagicbox.com/comp/surat/l6/0261px261.x261.151231170645.j3l6/catalogue/anupam-hospital-parvat-patia-surat-hospitals-bfhro85m30.jpg?clr=#28333e?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Anupam Hospital,NaN,"Canal Road, Parvat.. |",Surat,Gujarat,India,07947255292,https://www.justdial.com/Surat/Anupam-Hospital-Opposite-Amazia-Water-Park-Parvat-Patia/0261PX261-X261-151231170645-J3L6_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.2,96 Votes
18,Hospital,https://content.jdmagicbox.com/comp/surat/u7/0261px261.x261.160928093117.i7u7/catalogue/green-leaf-hospital-surat-mafak8am98.jpg?clr=#333333?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Green Leaf Hospital,NaN,"Vesu Cross Road, V.. |",Surat,Gujarat,India,07947082787,https://www.justdial.com/Surat/Green-Leaf-Hospital-Opposite-Vijayalaxmi-Hall-Vesu/0261PX261-X261-160928093117-I7U7_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.5,NaN
19,Hospital,https://content.jdmagicbox.com/comp/def_content/blood-testing-centres/ou3dqtaqml-blood-testing-centres-10-cq540.jpg?clr=#273f27?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Velocity Multispeciality Ho..,NaN,"Lp Savani Road, Ad.. |",Surat,Gujarat,India,07947291432,https://www.justdial.com/Surat/Velocity-Multispeciality-Hospital-Near-Madhuvan-Circle-Adajan-Dn/0261PX261-X261-210527111125-Z5X3_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,5.0,8 Votes
20,Hospital,https://content.jdmagicbox.com/comp/surat/x4/0261px261.x261.181115190511.e6x4/catalogue/apex-hospital-and-icu-pal-bhatha-surat-hospitals-zulo5so6xv.jpg?clr=#203346?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Apex Hospital & ICU,Multispeciality Hospitals in Surat,New Gaurav Path Ro.. |,Surat,Gujarat,India,07947079718,https://www.justdial.com/Surat/Apex-Hospital-ICU-Near-Raj-Corner-Pal-Bhatha/0261PX261-X261-181115190511-E6X4_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.6,NaN
21,Hospital,https://content.jdmagicbox.com/comp/surat/u5/0261px261.x261.210729192424.h4u5/catalogue/-caaw62ad6c.jpg?clr=#4d331a?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Monarch Multi-Speciality Ho..,Multispeciality Hospitals,Pal Gam Road-Palan.. |,Surat,Gujarat,India,07947060598,https://www.justdial.com/Surat/Monarch-Multi-Speciality-Hospital-Pal-Gam-Road-Palanpur-Patia/0261PX261-X261-210729192424-H4U5_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,5.0,38 Votes
22,Hospital,https://content.jdmagicbox.com/comp/surat/m6/0261px261.x261.130807101148.n9m6/catalogue/sanjeevani-multi-speciality-hospital-vesu-surat-hospitals-dhqv7g6cfv.jpg?clr=#2b2b3b?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Sanjeevani Multi Speciality..,Hospitals near me,"University Road, V.. |",Surat,Gujarat,India,07947254889,https://www.justdial.com/Surat/Sanjeevani-Multi-Speciality-Hospital-Opposite-S-D-Jain-School-Vesu/0261PX261-X261-130807101148-N9M6_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.5,NaN
23,Hospital,https://content.jdmagicbox.com/comp/surat/f2/0261px261.x261.190204182851.c8f2/catalogue/golden-care-multispeciality-hospital-city-light-town-surat-polyclinics-fbuu0sobwa.jpg?clr=#521414?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Golden Care Multispeciality..,Private Hospitals near me,"Citylight Road, Ci.. |",Surat,Gujarat,India,07947082177,https://www.justdial.com/Surat/Golden-Care-Multispeciality-Hospital-Opposite-Science-Center-City-Light-Town/0261PX261-X261-190204182851-C8F2_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.9,1 Votes
