,Hospital,Hotels,Ratings,KM Range,Room Count,Price USD,Price INR
53,"Wockhardt Hospital, Surat",OYO 1877 Hotel Krishna,3,0.3,45,33,2500
54,"Wockhardt Hospital, Surat",Hotel Krishna,3,0.2,26,33,2500
55,"Zydus Hospital, Anand",Neejanand Luxurious Resort & Spa,4,8.0,100,66,5000
56,"Zydus Hospital, Anand",Hotel Rama Residency,2,3.0,30,20,1500
57,"Narayana Multi Speciality Hospital, Ahmedabad",Park Plaza Ahmedabad Ellis Bridge,4,4.0,75,52,4000
58,"Narayana Multi Speciality Hospital, Ahmedabad",Four Points By Sheraton,5,4.0,104,66,5000
59,"Apollo Hospitals International, Ahmedabad",Park Plaza Ahmedabad Ellis Bridge,4,0.35,75,93,7000
60,"Apollo Hospitals International, Ahmedabad",Four Points By Sheraton,5,2.0,104,66,5000
61,STERLING HOSPITAL,Treatotel Hotel,3,0.2,30,20,1500
62,STERLING HOSPITAL,Collection O 321 Vastrapur Ahmedabad,2,2.0,50,13,1000
63,"Shalby Multispeciality Hospital, Surat",Surat Marriott Hotel,5,5.5,80,100,5000
64,"Shalby Multispeciality Hospital, Surat",OYO 3975 Golden Star Country Club,3,2.7,30,13,1000
65,Shalby Limited Vapi,Hotel Orange Vapi,3,1.5,50,33,2500
66,KRISHNA SHALBY HOSPITAL,Hotel New Pathik,3,2.6,30,20,1500
67,KRISHNA SHALBY HOSPITAL,Hotel Skyland,3,4.0,35,27,2030
68,Krishna Shalby Hospital,Hotel New Pathik,3,2.6,30,20,1500
69,Krishna Shalby Hospital,Hotel Skyland,3,4.0,35,27,2030
70,Shalby Hospital S. G Highway,Crowne Plaza Ahmedabad City Centre,5,1.0,200,160,12000
71,Shalby Hospital S. G Highway,Hotel Shrimad Residency,1,0.2,18,16,1200
72,"Rockland Hospital, Manesar",Heritage Village Manesar,4,0.7,160,79,6000
73,"Rockland Hospital, Manesar",Hyatt Regency Gurgaon,4,5.0,200,66,5000
74,Dr SanjayKalra'S Multispeciality Dental Clinic,Hotel Cove,3,0.5,50,40,3000
75,"Aarogya Hospital, Haryana",OYO 3161 Hotel Ashoka The Grand,3,0.6,40,27,2000
76,"Aarogya Hospital, Haryana",OYO 69735 Hotel CRA,1,1.0,25,13,1000
77,Alchemist Hospital Panchkula,Hotel Maharani,2,2.5,34,22,1680
78,Alchemist Hospital Panchkula,OYO 8277 Tricity Relax Inn,3,2.7,45,10,750
79,VK Neurocare And Trauma Research Hospital,Hotel Moon,2,0.5,30,20,1500
80,VK Neurocare And Trauma Research Hospital,Hotel Jaishree,3,0.8,20,17,2000
81,Fortis Healthcare Limited,OYO X 325 Hotel Prakash Habitat Gurgaon,4,0.7,18,21,1800
82,Fortis Healthcare Limited,Clarens Hotel,4,1.0,32,71,5100
83,Artemis Hospital,Hilton Garden Inn Gurgaon Baani Square,5,2.5,50,57,4330
84,Artemis Hospital,Keys Lite,4,3.0,55,31,2350
85,MEDANTA- THE MEDICITY,Park Inn,3,3.0,40,42,3000
86,MEDANTA- THE MEDICITY,Platinum Palace,4,0.4,40,10,700
87,Mayom Hospital,OYO 357 Amazing Suites Hotel Gurgaon,3,5.0,20,14,1050
88,Mayom Hospital,Excel Inn,3,0.14,25,27,2020
89,PREM SUKH HOSPITAL AND DIALYSIS CENTRE,North Star Residency,2,0.7,20,13,900
90,PREM SUKH HOSPITAL AND DIALYSIS CENTRE,Lakshmi Guest House,2,0.4,30,9,650
91,"Sparsh Hospitals, Bangalore",Iris Hotel,4,4.0,60,66,5000
92,"Sparsh Hospitals, Bangalore",Radha Regent Bengaluru,4,3.0,100,66,5000
93,Soukya International Holistic Health Centre,Four Points By Sheraton Bengaluru Whitefield,4,6.0,129,59,4500
94,Soukya International Holistic Health Centre,"Royal Orchid Suites,",3,7.0,88,46,3500
95,"Sahaya-Dr. Mathai'S Holistic Integrative Medical Centre, Bangalore",The Richmond Hotel,3,3.0,44,40,3000
96,"Sahaya-Dr. Mathai'S Holistic Integrative Medical Centre, Bangalore",The President Hotel,3,3.0,46,53,4000
97,"Narayana Nethralaya, Rajaji Nagar Bangalore",Fortune Select Jp Cosmos,5,7.0,134,66,5000
98,"Narayana Nethralaya, Rajaji Nagar Bangalore",The Lalit Ashok Bangalore,5,6.0,184,79,6000
99,"Narayana Nethralaya, Bommasandra Bangalore",Gardeenia Comfortes Suites,3,2.0,142,33,2500
100,"Narayana Nethralaya, Bommasandra Bangalore",Lords Plaza,3,6.0,70,33,2500
101,"Narayana Health City, Bangalore",Radha Regent Bengaluru,4,5.0,100,66,5000
102,"Narayana Health City, Bangalore",Crowne Plaza Bengaluru Electronics City,5,5.0,250,92,7000
103,"Manipal Hospital, Bangalore",The Krishna Nibbana,3,8.0,35,40,3000
104,"Manipal Hospital, Bangalore",Melange Astrisn Apartment Hotel,4,4.0,100,40,3000
105,"M. S. Ramaiah Memorial Hospital, Bangalore",Sheraton Bangalore Hotel At Brigade Gateway,5,3.0,130,120,9000
106,"Columbia Asia Hospitals, Bangalore",Parijatha Gateway,3,0.6,78,66,5000
107,"Columbia Asia Hospitals, Bangalore",Sheraton Grand Bangalore Hotel At Brigade Gateway,5,0.2,110,92,700
108,"Bangalore Baptist Hospital, Bangalore",The Basil Hotel,3,7.0,54,22,1700
109,"Bangalore Baptist Hospital, Bangalore",Hotel Basant Residency,3,8.0,48,26,2000
110,Santevita Hospital,Hotel Pearl,2,0.5,23,18,1300
111,Santevita Hospital,"Le Lac Sarovar Portico, Ranchi",4,0.4,51,56,4000
112,"Valiyath Institute Of Medical Sciences, Kollam",Hotel Comfort Regency,2,1.0,35,20,1500
113,"Valiyath Institute Of Medical Sciences, Kollam",Hotel Grande Muscat,2,1.0,43,20,1500
114,"Sunrise Hospital, Cochin",Trident Cochin,5,4.0,85,60,4500
115,"Sunrise Hospital, Cochin",The Gateway Hotel,5,5.0,108,57,4300
116,"Sreepathy Ayurveda Hospital ,Cochin",Orchid Residency,2,2.0,36,29,2200
117,"Sreepathy Ayurveda Hospital ,Cochin",Trident Cochin,5,4.0,85,59,4500
118,"Sreedhareeyam Ayurvedic Eye Hospital & Research Centre, Cochin",Trident Cochin,5,4.0,85,59,4500
119,"Sreedhareeyam Ayurvedic Eye Hospital & Research Centre, Cochin",The Gateway Hotel,5,5.0,108,55,4200
120,"Somatheeram Ayurveda Resort, Trivandrum",Nemom Railway Station,5,10.0,200,132,10000
121,"Somatheeram Ayurveda Resort, Trivandrum",Hotel Chaithram,3,7.0,88,20,1500
122,"Rajah Island, Thrissur",Hotel Elite International,2,10.0,108,8,600
123,"Rajah Healthy Acres, Palakkad",Trichur Towers,4,- Not Available -,1200,16,1200
124,"Rajah Healthy Acres, Palakkad",Lulu International Convention Center And Garden Hotels,4,- Not Available -,11,53,4000
125,"Rajah Beach, Thrissur",Dass Continental,3,2.0,29,25,1900
126,"Rajah Beach, Thrissur",Casino Hotels Limited,3,1.0,51,21,1600
127,PVA Ayurvedic Multi Specialty Nursing Home,Royal Omars,2,9.0,34,20,1500
128,PVA Ayurvedic Multi Specialty Nursing Home,Mascot Beach Resort,2,9.0,45,28,2100
129,"Punarvana Ayurveda Hospital, Cochin",Trident Cochin,5,3.0,45,66,5000
130,"Punarvana Ayurveda Hospital, Cochin",The Gateway Hotel,5,4.0,108,54,4100
131,SHALBY HOSPITAL JABALPUR,VIJAN MAHAL,5,15.0,100,67,5000
132,SHALBY HOSPITAL JABALPUR,Hotel Yuvraj Grand,1,0.4,30,35,2640
133,Shalby Hospital Indore,Capital O 14448 Hotel Sapphire Star Indore,3,0.85,40,17,1280
134,Shalby Hospital Indore,OYO 3892 Hotel Divya Palace Indore,3,0.8,35,14,1060
135,J.K. HOSPITAL & L.N. MEDICAL COLLEGE,CLARKS INNFAIRYLAND,4,3.0,40,80,6000
136,J.K. HOSPITAL & L.N. MEDICAL COLLEGE,OYO 8183 Hotel Sandal Wood Bhopal,3,1.5,20,13,980
137,Greater Kailash Hospitals Pvt Ltd,Hotel Radisson Blu,5,3.0,200,- Not Available -,- Not Available -
138,Greater Kailash Hospitals Pvt Ltd,Sayaji,5,4.0,250,- Not Available -,- Not Available -
139,Medanta Hospital Indore (A Unit Of GHPL),OYO 5253 Hotel Orange Lily,2,0.28,60,17,1200
140,Medanta Hospital Indore (A Unit Of GHPL),OYO Flagship 137 Vijay Nagar Hotel Indore,2,0.4,28,28,2000
141,Silverline Hospital And Research Institute Bhopal,Shagun Hotel,3,0.7,32,15,1110
142,Silverline Hospital And Research Institute Bhopal,FabHotel President,3,1.0,20,17,1260
143,SMART CITY HOSPITAL,Hotel Lake View Ashok,3,2.5,45,75,5500
144,SMART CITY HOSPITAL,The Bhopal Grande,3,2.3,20,34,2500
145,Navodaya Cancer Hospital,OYO 8561 Hotel Sun Park,2,0.6,16,16,1180
146,Navodaya Cancer Hospital,Hotel Kakul,2,0.4,7,45,3330
147,City Hospital & Research Centre,Narmada Jacksons,4,4.0,68,56,4000
148,City Hospital & Research Centre,Hotel Rishi Regency,3,1.0,38,28,2000
149,NEW PANDEY HOSPITAL,Hotel Shyam Ji,3,1.0,11,17,1200
150,NEW PANDEY HOSPITAL,Hotel Stay Inn,3,1.0,8,21,1500
151,"Wockhardt Hospitals, Nashik",Hotel SM Imperial,1,1.0,45,40,3000
152,"Wockhardt Hospitals, Nashik",Hotel Rama Heritage,3,1.0,39,53,4000
153,"Wockhardt Hospitals, Nashik",Hotel SM Imperial,1,1.0,45,40,3000
154,"Wockhardt Hospitals, Nashik",Hotel Rama Heritage,3,1.0,39,53,4000
155,"Wockhardt Hospitals, Nagpur",OYO 890 Seven Suites Apartment Hotel Nagpur,3,3.0,43,33,2500
156,"Tata Memorial Centre, Mumbai",Ramada Plaza Palm Grove,5,3.0,115,120,9000
157,"Tata Memorial Centre, Mumbai",Novotel Mumbai Juhu Beach,5,2.0,203,120,9000
158,Seven Hills Healthcare,Ramada Plaza Palm Grove,5,4.0,115,119,9000
159,Seven Hills Healthcare,Novotel Mumbai Juhu Beach,5,4.0,203,119,9000
160,"KEM Hospital, Pune",Sun N Sand Pune,5,4.0,139,58,4400
161,"KEM Hospital, Pune",Le Meridien Hotel Pune,5,2.7,177,66,5000
